Job Opening ID,Featured Jobs,Remote,Posting Date,Posting Title,Company,Industry,Job Type,Salary,Location,City,State,Zip Code,Country,Full Address,Latitude,Longitude,Job Discription,Job Details Link,Send Applications to  (Email/URL),Company Logo,Status
,,,01/19/22,Sales Associate - Part Time,FLOWER CO.,Wellness,,,"Boston, MA",,,,United States,"Boston, MA    United States",42.3600825,-71.0588801,,http://jobviewtrack.com/en-gb/job-1f1e417d4c161b4e731d4d0648320f0b005354291a004548544c59016d3e460654433c080302457315040c00287b5c5f59443b074a1100221b1201040c41000d6b234b59490d790d020b2527410f0d124e2616531b0b00125e4e3c1c1f535e5e/0476c9e62876b4132f63e25cd4c24021.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,12/29/21,"General Operations Manager, Cannabis Distribution",FLOWER CO.,Wellness,,,"San Diego, CA",,,,United States,"San Diego, CA    United States",32.715738,-117.1610838,,http://jobviewtrack.com/en-gb/job-4848416a480a0a1c4618002e090f0f00005254271916584a4944420a1c6c60114e061a00024728411a090e16580b79445e101d074501540a070f6c28154506091d1a45454e0d6005010f401152432c081d131749161d1d1a45453f6a480a0a1c4618002e090f0f00005276271916584a4944420a1c4e6a154e020f041c6652164c5a/57bd8a2c2b1baabf754202b4816fe260.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,12/29/21,"Assistant Manager, Cannabis Distribution",FLOWER CO.,Wellness,,,"San Diego, CA",,,,United States,"San Diego, CA    United States",32.715738,-117.1610838,,http://jobviewtrack.com/en-gb/job-4f1b416944171b1c4e165517010e0047245307011a074b45490d6005010f4011526129121d0e165415061d53674a534c4a011d6c631d53171a080c1211491b06493e4b455c4a48166d2a4e07541101031b130c4f1a48280059424e594c0a1b6c64154e0d09030714456d150608144f593c1a1b5c5d/1076ecf386678272101ac2af480dd10a.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,12/22/21,Contract Content Editor,FLOWER CO.,Wellness,,,California,,,,United States,California    United States,36.778261,-119.4179324,,http://jobviewtrack.com/en-gb/job-181e416e420a1b0b490000260c081a08172237070707584a5e590d210b07531b52612d0507130a52762b061d5e595c4e59662c014900450d1c605d5055/aadad755d63358d2160cf01ee7cc5de8.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,12/21/21,Executive Administrative Intern / Personal Assistant,FLOWER CO.,Wellness,,,"Austin, TX",,,,United States,"Austin, TX    United States",30.267153,-97.7430608,,http://jobviewtrack.com/en-gb/job-484f416855010c1b531d560648200a0a0c4e1d1b1d014b5f545b48442e1d541d5317090f1a652058110b1c07435d580d7d011d1d481a410f48201d140c5300090707286a5940440a061d5306411701170b47245307011a074b45490d640a1b0b551a22220c0c07090c53001a0807435d580d7d011d1d481a410f48201d140c5300090707286a5940440a061d5306411701170b47245307011a074b45492c1f54585615/9e93ef3406470481673651717c020a82.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,12/09/21,"Assistant Manager, Cannabis Distribution",FLOWER CO.,Wellness,,,"Sacramento, CA",,,,United States,"Sacramento, CA    United States",38.5815719,-121.4943996,,http://jobviewtrack.com/en-gb/job-4f1e416944171b1c4e165517010e0047245307011a074b45490d6005010f4011526129121d0e165415061d53674a534c4a011d6c631d53171a080c1211491b06493e4b455c4a48166d2a4e07541101031b130c4f1a48280059424e594c0a1b6c64154e0d09030714456d150608144f593c1a1b5257/fbf44af602f11ff510fbe48294ce28a3.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,,"Closing Supervisor, Order Packing",FLOWER CO.,Wellness,,,"Arcata, CA",,,,United States,"Arcata, CA    United States",40.8665166,-124.0828396,,http://jobviewtrack.com/en-gb/job-4949417d4c070407491300301d110b15134907071b71795e4d485f12061d480622330902050e0b4776271b174f593c1b1a5058/b17197da59d76062d8152e556df4dd73.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,,Online Budtender,FLOWER CO.,Wellness,,,"Arcata, CA",,,,United States,"Arcata, CA    United States",40.8665166,-124.0828396,,http://jobviewtrack.com/en-gb/job-4e18416243080600427516545c56/8a2ab605062bb561bf3d954688a4a9b3.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,01/06/22,Cannabis Delivery Driver (Grand Rapids Area),Forty Acres Enterprises,Wellness,,,"Grand Rapids, MI",,,,United States,"Grand Rapids, MI    United States",42.9633599,-85.6680863,,http://jobviewtrack.com/en-gb/job-1b19416948080618420659432c1307110052762c1b1a5c4e4f2f690103075111521a6a201c0204223709071d4b49545e2c555c5d114c/32b0c22eddfe8c23b60d236a7b2405d8.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
,,,12/24/21,Cannabis Delivery Driver (Hamtramck),Forty Acres Enterprises,Wellness,,,"Hamtramck, MI",,,,United States,"Hamtramck, MI    United States",42.3928151,-83.0496438,,http://jobviewtrack.com/en-gb/job-1d49416948080618420659432c1307110052762c1b1a5c4e4f2f690103075111521a6a220f090b4116011a721b180e151e/84d27630f4118992e12ec81f71582cf0.html?affid=e7a8839aa0672d93a3c52df41a2ecb62,,https://drive.google.com/uc?export=view&id=17F1bcfazLAUSZuQ9GYs5NYcs6IpCspNo,
